municipio,area_muni_km2,area_inundable_km2,pct_inundable
GUARNE,154.97252993928714,0.0,0.0
MEDELLIN,380.239583111543,2.690525478066505,0.7075868998302687
SAN VICENTE,234.7331303475617,0.18851802670848644,0.08031164004388897
SAN RAFAEL,370.7066035045914,9.910437343934875,2.673391099657638
ANZA,260.4884615466911,3.0694767520432595,1.1783542095560624
ALEJANDRIA,131.35400628061143,11.426268006790005,8.698834797912506
EBEJICO,242.0714754239094,2.221545020877023,0.9177227581179113
COPACABANA,69.19777746813406,0.020008075820946512,0.028914333021982295
BELLO,150.61267769256122,1.9520669883666728,1.2960841134179542
GIRARDOTA,84.36881156892866,0.9442409532703905,1.119182474792777
CONCEPCION,205.84119958793255,8.1731788425069,3.9706234023453737
CARACOLI,267.75575243302796,0.8614544248601842,0.3217314350979833
SAN JERONIMO,164.26080294844874,0.0,0.0
CAICEDO,203.77150886450423,0.549470660169613,0.26965038597961105
BARBOSA,209.58459865746931,0.5235506852622931,0.2498039878006248
SAN PEDRO DE LOS MILAGROS,225.21454740231266,4.341202340804569,1.927585225233985
SAN ROQUE,432.9784914674736,2.1459420864592085,0.4956232535214551
SANTO DOMINGO,271.02209495122935,1.1669759720654282,0.43058333390693715
DONMATIAS,207.19059941529153,1.9258843442549403,0.9295230332312084
CISNEROS,47.85922014358753,0.0,0.0
URRAO,2608.291826911681,75.59933160498537,2.898423053163415
SOPETRAN,223.20229834724412,2.6860012144954144,1.2033931704039635
MACEO,394.7259041416191,0.0,0.0
OLAYA,88.65576133343558,4.970238168951956,5.606221292555166
ENTRERRIOS,218.33798890877756,4.892298890868224,2.2406998046099273
SANTA FE DE ANTIOQUIA,535.4552259566116,7.804799347522854,1.4576007421683628
GIRALDO,95.29095301773644,0.005405295978336869,0.005672412550361192
PUERTO BERRIO,1243.8880235005126,55.110615342516034,4.4305125784092185
ABRIAQUI,302.569887369725,2.085232566188977,0.6891738580848692
YALI,449.8931712758367,0.0,0.0
BELMIRA,301.92541054152576,0.0,0.0
LIBORINA,220.6686250643222,2.0400142255441676,0.9244695411273479
CAROLINA,152.6040671755355,11.92189279546646,7.812303443887307
YOLOMBO,1032.8395364941969,0.7438513742560071,0.07202003292601362
GOMEZ PLATA,338.8825635009579,4.236614120242195,1.2501717634788312
VIGIA DEL FUERTE,1690.7796523735055,817.9927425551831,48.37961832618994
SAN JOSE DE LA MONTAÑA,128.61648501982006,0.0,0.0
SANTA ROSA DE OSOS,881.9129688483525,1.5819175262612497,0.1793734282337405
FRONTINO,1410.227318108625,8.080616836277635,0.573001014270184
GUADALUPE,120.65639411065173,0.8381906854481611,0.6946923050588367
ANGOSTURA,345.4728565396205,0.0,0.0
BURITICA,362.2660010850735,0.30250658222343685,0.08350399466617267
CAÑASGORDAS,372.03766462507815,0.5703912799040078,0.1533154661850759
VEGACHI,552.026304644398,0.0,0.0
URAMITA,271.2418386926109,0.29791318415883683,0.10983304994346822
SAN ANDRES DE CUERQUIA,211.11975885520528,0.0,0.0
MURINDO,1290.1133098892728,581.7008662910388,45.08912991068705
SABANALARGA,271.17927402261904,3.9727720825089077,1.464998420999364
TOLEDO,137.25927594470664,0.3983734277991353,0.29023424832840844
DABEIBA,1996.6674025323387,4.125522598236153,0.20662042125813365
CAMPAMENTO,237.16364416159013,0.7988632888308425,0.336840535426476
PEQUE,443.13821634942303,0.44492026414273517,0.10040214265607528
YARUMAL,727.5919355348141,0.058539332295567216,0.008045626873604375
BRICEÑO,384.4460837427499,1.4179508190237755,0.368829565181002
REMEDIOS,2017.6181847514733,1.8223172062458182,0.09032022114086406
YONDO,1935.7383979190904,393.1985783313742,20.3125886614669
AMALFI,1234.9830026773814,2.7185935129350565,0.22013205906812336
VALDIVIA,580.3875114844623,7.20457200098679,1.2413382194526539
ANORI,1445.2102374615363,3.9909346079694106,0.2761490684552134
SEGOVIA,1151.4113772942853,2.4692002718786905,0.21444987608869145
MUTATA,1097.9690276188737,198.88764643890698,18.11413996533468
ITUANGO,2903.823137248607,2.291496115531588,0.07891307449608645
